id,handle,nexternal_id,internal_memo,author,price,related_handles
11141925386,a-reason-for-spelling-audio-cds-level-f,5046,"Added June 2012.&nbsp; - CSM<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />",,,
11141921674,a-reason-for-spelling-student-workbook-level-a,195,Old data from V-Cart System:<br />Web Special $9.95<br />Clearance $9.95<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141921930,a-reason-for-spelling-student-workbook-level-b,196,Old data from V-Cart System:<br />Web Special $9.95<br />Clearance $9.95<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141922122,a-reason-for-spelling-student-workbook-level-c,197,Old data from V-Cart System:<br />Web Special $9.95<br />Clearance $9.95<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141922314,a-reason-for-spelling-student-workbook-level-d,198,Old data from V-Cart System:<br />Web Special $9.95<br />Clearance $9.95<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141922570,a-reason-for-spelling-student-workbook-level-e,199,Old data from V-Cart System:<br />Web Special $9.95<br />Clearance $9.95<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141922826,a-reason-for-spelling-student-workbook-level-f,200,Old data from V-Cart System:<br />Web Special $9.95<br />Clearance $9.95<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141922954,a-reason-for-spelling-teachers-guidebook-and-student-workbook-kit-level-a,201,Old data from V-Cart System:<br />Web Special $31.87<br />Clearance $31.87<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141923082,a-reason-for-spelling-teachers-guidebook-and-student-workbook-kit-level-b,202,Old data from V-Cart System:<br />Web Special $31.87<br />Clearance $31.87<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141923274,a-reason-for-spelling-teachers-guidebook-and-student-workbook-kit-level-c,203,Old data from V-Cart System:<br />Web Special $31.87<br />Clearance $31.87<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141923530,a-reason-for-spelling-teachers-guidebook-and-student-workbook-kit-level-d,204,Old data from V-Cart System:<br />Web Special $31.87<br />Clearance $31.87<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141923722,a-reason-for-spelling-teachers-guidebook-and-student-workbook-kit-level-e,205,Old data from V-Cart System:<br />Web Special $31.87<br />Clearance $31.87<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141923978,a-reason-for-spelling-teachers-guidebook-and-student-workbook-kit-level-f,206,Old data from V-Cart System:<br />Web Special $31.87<br />Clearance $31.87<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141925642,a-separate-peace,7621,,John Knowles,,
11141925898,a-story-of-god-and-all-of-us-reflections-100-daily-inspirations,5549,,"Roma Downey, Mark Burnett",,
11141926090,a-tale-of-two-cities-e,3988,PEP April 2010 <br />,"Dickens, Charles",,
11141926218,a-word-write-now-a-thematic-thesaurus-for-stylized-writing,5144,Updated February 2015,Loranna Schwacofer,,
11141926474,a-writers-guide-to-powerful-paragraphs,7254,,Victor C. Pellegrino,,
11141926794,a-writers-guide-to-transitional-words-and-expressions,3751,,Victor C. Pellegrino,,
11141926986,abc-123-build-a-poster-br-coloring-book,4248,Dec. 2010 - LKR <br />,,,
11141927178,abraham-lincoln-coloring-book,218,Old data from V-Cart System:<br />Web Special $3.25<br />Clearance $3.25<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141927434,across-five-aprils,222,Old data from V-Cart System:<br />Web Special $4.25<br />Clearance $4.25<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141927562,acsi-spelling-grade-1-student-revised,3432,,,,
11141927818,acsi-spelling-grade-2-student-revised,3352,,,,
11141927946,acsi-spelling-grade-3-student-revised,3355,,,,
11141928138,acsi-spelling-grade-4-student-revised,3774,"<p aria-level=""0"" aria-posinset=""0"" aria-setsize=""0""><br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" /></p>
<p aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"">Regular retail is $18.00 </p>
<p aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"">3-2009- LKR</p>
",,,
11141928330,acsi-spelling-grade-5-student-revised,3775,"<p aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"">ck to $18.00. </p>
<p aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"">3-2009- LKR</p>
",,,
11141928522,acsi-spelling-grade-6-student-revised,3433,,,,
11141928650,action-bible-new-testament,5094,,Sergio Cariello,,
11141928842,adam-and-his-kin,223,Old data from V-Cart System:<br />Web Special $8.5<br />Clearance $8.5<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,Ruth Beechick,,
11141929034,adam-of-the-road,224,,,,
11141929354,addition-and-subtraction-beyond-math-facts,7005,This item drop ships to the customer!<br />,"Susan R. Greenwald, M.A. Ed.",,
11141929610,addition-cd-kit-audio-memory,3175,,Kathy Troxel,,
11141929802,addition-flash-cards-0-12,3531,Overstock - Feb 2013&nbsp;,,,
11141930058,addition-the-fun-way-audio-book-on-cd,5493,,,,
11141930250,addition-the-fun-way-basic-kit,3213,Cost/sell updated Feb. 18th - LKR <br />,,,
11141930378,addition-the-fun-way-student-workbook,5363,,,,
11141930634,addition-workbook-and-music-cd-br-twin-sisters,4655,"Updated the product from the old 96 page workbook to the new 48 page workbook.<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />",,,
11141930762,advanced-biology-dissecting-specimens,3532,Price change Nov 2013 - didn't change cost yet- LKR <br />,,,
11141930890,advanced-biology-slides-w-blood-typing-kit,3782,Price change Nov 2013 - didn't change cost yet- LKR&nbsp;,,,
11141931210,advanced-u-s-history-based-writing-lessons-explorers-modern-times-student-book-only,5214,"Changed from US V/2 to Advanced. February 2015
",Lori Verstegen,,
11141931018,advanced-u-s-history-based-writing-lessons-explorers-modern-times-teacher-student-combo,5130,Changed from US V/2 to Advanced. February 2015,Lori Verstegen,,
11141931338,adventure-bible-for-early-readers-nirv,5365,Updated to the new edition. 10/28/14 DR<br />STL has the best discount at 50%. 10/28/14<br />,,,
11141931466,adventures-of-huckleberry-finn-dover,229,,Mark Twain,,
11141931530,adventures-of-huckleberry-finn-prestwick-house,6632,"Added for PEP-Mason in 2013.<p>&nbsp;</p>
",Mark Twain,,
11141931722,adventures-of-huckleberry-finn-study-guide-progeny-press,2128,Old data from V-Cart System:<br />Web Special $15.5<br />Clearance $15.5<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141931786,adventures-of-tom-sawyer,230,Old data from V-Cart System:<br />Web Special $2<br />Clearance $2<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,Mark Twain,,
11141931978,adventures-of-tom-sawyer-study-guide-progeny-press,2129,Old data from V-Cart System:<br />Web Special $13.95<br />Clearance $13.95<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141932106,aesops-fables,231,Old data from V-Cart System:<br />Web Special $1.5<br />Clearance $1.5<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141932298,aesops-fables-for-children-with-cd,4880,"Added Feb. 28, 2012 for Veritas Academy.<br />",Milo Winter,,
11141932362,afternoon-on-the-amazon-magic-tree-house-series-6,3276,,,,
11141932490,age-of-opportunity-a-biblical-guide-to-parenting-teens,4429,,Paul David Tripp,,
11141932746,alabama-state-history-alpha-omega-switched-on-schoolhouse,7336,,,,
11141932810,alarm-clock-and-fm-radio-with-super-shaker,7247,"<div>Retail: $59.95</div>
Cost: $38.97(35% discount) + $3 (DS Fee) = $41.97<div>Shipping: Estimated $9.95</div>
",Sonic Alert,,
11141933002,alarm-clock-and-telephone-signaler-with-super-shaker,7248,"<div>Retail: $59.95</div>
Cost: $38.97(35% discount) + $3 (DS Fee) = $41.97<div>Shipping: Estimated $9.95</div>
",Sonic Alert,,
11141933130,alas-babylon-f,4022,PEP April 2010 <br />,Pat Frank,,
11141933194,alaska-state-history-alpha-omega-switched-on-schoolhouse,7337,,,,
11141933322,album-of-horses,233,"Old data from V-Cart System:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Web Special $10.97<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Clearance $10.97<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Old Promo Pages:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Notes from V-Cart system:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />",,,
11141933770,algebra-a-complete-online-course-br-from-videotext,4378,,Tom Clark,,
11141933514,algebra-survival-guide,3178,,,,
11141933642,algebra-survival-guide-workbook,3177,,,,
11141933834,all-aboard-for-2nd-edition-ssrw-1998,3625,,,,
11141934090,all-aboard-for-ssrw-2004,5454,Retails for $13.97<br />,,,
11141934282,all-about-spelling-basic-interactive-kit,5161,"Retail: 23.85 on the All About Spelling website<br />IEW gives us a 20% discount + 10% shipping, but we can sell it on Amazon<br />AAS does not allow their retailers to sell on Amazon so we order from IEW<br /><div><br /></div>
<div>Updated February 2015</div>
",Marie Rippel,,
11141934474,all-about-spelling-student-material-packet-level-1,5078,"Retail: 14.95 on the All About Spelling website<br />IEW gives us a 20% discount + 10% shipping, but we can sell it on Amazon<br />AAS does not allow their retailers to sell on Amazon so we order from IEW<div><br /></div>
<div>Updated February 2015</div>
",Marie Rippel,,
11141934538,all-about-spelling-student-material-packet-level-2,5093,"Retail: $20<div><br /><div>Updated February 2015</div>
</div>
",Marie Rippel,,
11141934602,all-about-spelling-student-material-packet-level-3,5101,"Retail $20<br /><div><br /></div>
<div>Updated February 2015</div>
",Marie Rippel,,
11141934794,all-about-spelling-teacher-student-combo-kit-level-1,5075,"Retail is $30.00<br /><div><br /></div>
<div>Updated February 2015</div>
",Marie Rippel,,
11141935178,all-about-spelling-teacher-student-combo-kit-level-2,5092,"Retail $40<br /><div><br /></div>
<div>Updated February 2015</div>
",Marie Rippel,,
11141935242,all-about-spelling-teacher-student-combo-kit-level-3,5098,"Retail $40<br /><div><br /></div>
<div>Updated February 2015</div>
",Marie Rippel,,
11141936778,all-american-colleges-top-schools-for-conservatives-old-fashioned-liberals-and-people-of-faith,4937,Check Amazon for better pricing.,John Zmirak,,
11141935434,all-american-history-set-volume-1,240,"<p>Old data from V-Cart System:<br />Web Special $60.97<br />Clearance $60.97<br />Old Promo Pages:<br />Notes from V-Cart system:<br />----</p>
<p>Reg price $60.97 Web Special July 08 </p>
",,,
11141935498,all-american-history-set-volume-2,3236,"<p>Reg price is $60.97</p>
<p>Web special July 08 - $55.08</p>
<p>Price change 5-10=&nbsp; to 61.97&nbsp;</p>
<p>Price change May 2011 - 63.97 - LKR<br /></p>
",,,
11141935562,all-american-history-volume-1-student-activity-book,241,Old data from V-Cart System:<br />Web Special $12.95<br />Clearance $12.95<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141935690,all-american-history-volume-1-student-reader,242,Old data from V-Cart System:<br />Web Special $34.97<br />Clearance $34.97<br />Old Promo Pages:<br />Notes from V-Cart system:<br /><br />6/16/11 - R.O.C.K.in' Deal for $30 + free shipping. - Christina<br />Sold: 0<br />,,,
11141935882,all-american-history-volume-1-teachers-guide-and-answer-key,243,Old data from V-Cart System:<br />Web Special $13.97<br />Clearance $13.97<br />Old Promo Pages:<br />Notes from V-Cart system:<br />,,,
11141936138,all-american-history-volume-2-student-activity-book,3224,,,,
11141936266,all-american-history-volume-2-student-reader,3223,"6/16/11 - R.O.C.K.in' Deal for $30 + free shipping. - Christina<br />Sold: 1<br />
",,,
11141936010,all-american-history-volume-2-teacher-guide-with-answer-key,3225,,,,
11141936458,all-quiet-on-the-western-front-f,4020,April PEP 2010&nbsp; <br />,"Remarque, Erich Maria",,
11141936586,all-things-fun-fascinating-writing-lessons-in-structure-and-style,4630,Updated February 2015,Lori Verstegen,,
11141937034,alpha-omega-diagnostic-tests-grades-1-8,1333,"Old data from V-Cart System:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Web Special $17.56<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Clearance $17.56<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Old Promo Pages:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Notes from V-Cart system:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />",,,
11141937226,alpha-omega-diagnostic-tests-grades-7-12,1334,,,,
11141937354,alpha-omega-kindergarten-lifepac-language-arts,257,"Old data from V-Cart System:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Web Special $36.92<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Clearance $36.92<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Old Promo Pages:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Notes from V-Cart system:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />",,,
11141937546,alpha-omega-kindergarten-lifepac-math,258,"Old data from V-Cart System:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Web Special $36.92<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Clearance $36.92<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Old Promo Pages:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Notes from V-Cart system:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />",,,
11141938122,alpha-omega-lifepac-10th-grade-bible-complete-set,259,,,,
11141938250,alpha-omega-lifepac-10th-grade-bible-set-of-10-workbooks,4651,"Added 10/9/11 by CSM.<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />",,,
11141938314,alpha-omega-lifepac-10th-grade-bible-teachers-guide,7532,,,,
11141938506,alpha-omega-lifepac-10th-grade-history-geography-world-history-complete-set,260,,,,
11141938634,alpha-omega-lifepac-10th-grade-history-geography-world-history-set-of-10-workbooks,4758,"Added 11/22/11 by CSM.<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />",,,
11141938698,alpha-omega-lifepac-10th-grade-history-geography-world-history-teachers-guide,7533,,,,
11141939338,alpha-omega-lifepac-10th-grade-language-arts-complete-set,261,,,,
11141938826,alpha-omega-lifepac-10th-grade-language-arts-set-of-10-workbooks,4778,Added on 11/27/11. - CSM<br />,,,
11141939402,alpha-omega-lifepac-10th-grade-language-arts-teachers-guide,7531,,,,
11141939786,alpha-omega-lifepac-10th-grade-math-geometry-complete-set,263,,,,
11141939978,alpha-omega-lifepac-10th-grade-math-geometry-set-of-10-workbooks,4789,"Added 11/27/11 by CSM.<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />",,,
11141940042,alpha-omega-lifepac-10th-grade-math-geometry-teachers-guide,7534,,,,
11141940490,alpha-omega-lifepac-10th-grade-science-biology-complete-set,262,,,,
11141940810,alpha-omega-lifepac-10th-grade-science-biology-experiments-dvd,246,"Old data from V-Cart System:<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />Web Special $17.56<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />Clearance $17.56<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />Old Promo Pages:<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />Notes from V-Cart system:<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />",,,
11141940234,alpha-omega-lifepac-10th-grade-science-biology-set-of-10-workbooks,4800,"Added 11/27/11 by CSM.<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />",,,
11141940874,alpha-omega-lifepac-10th-grade-science-biology-teachers-guide,7535,,,,
11141941130,alpha-omega-lifepac-11th-grade-bible,264,"Old data from V-Cart System:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Web Special $43.96<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Clearance $43.96<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Old Promo Pages:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Notes from V-Cart system:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />",,,
11141941386,alpha-omega-lifepac-11th-grade-bible-set-of-10-workbooks,4652,"Added 10/17/11 by CSM.<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />",,,
11141941450,alpha-omega-lifepac-11th-grade-bible-teachers-edition,7542,,,,
11141941642,alpha-omega-lifepac-11th-grade-history-geography-american-history,265,"Old data from V-Cart System:<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />Web Special $43.95<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />Clearance $43.95<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />Old Promo Pages:<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />Notes from V-Cart system:<br aria-setsize=""0"" aria-posinset=""0"" aria-level=""0"" />",,,
11141941706,alpha-omega-lifepac-11th-grade-history-geography-american-history-teachers-edition,7543,,,,
11141941962,alpha-omega-lifepac-11th-grade-history-geography-set-of-10-workbooks,4759,"Added 11/22/11 by CSM.<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />",,,
11141942154,alpha-omega-lifepac-11th-grade-language-arts,266,"Old data from V-Cart System:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Web Special $61.56<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Clearance $61.56<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Old Promo Pages:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Notes from V-Cart system:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />",,,
11141942410,alpha-omega-lifepac-11th-grade-language-arts-set-of-10-workbooks,4779,Added on 11/27/11. - CSM<br />,,,
11141942538,alpha-omega-lifepac-11th-grade-language-arts-teachers-edition,7544,,,,
11141942730,alpha-omega-lifepac-11th-grade-math,268,"Old data from V-Cart System:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Web Special $48.36<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Clearance $48.36<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Old Promo Pages:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />Notes from V-Cart system:<br aria-level=""0"" aria-posinset=""0"" aria-setsize=""0"" />",,,
11141942794,alpha-omega-lifepac-11th-grade-math-algebra-2-teachers-edition,7545,,,,
